,barcode,catno,community,country,format,genre,id,label,resource_url,style,thumb,title,type,uri,year
15,[],SE-2066,"{'have': 0, 'want': 4}",US,"['Vinyl', '7""', '33 ⅓ RPM']",['Jazz'],1486970,['Riverside Records'],https://api.discogs.com/releases/1486970,[],https://api-img.discogs.com/BI9YCdYMrfKD6P6-XY8_L2JUfg8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1486970-1389735324-9767.jpeg.jpg,Various - The Compositions Of Miles Davis,release,/Various-The-Compositions-Of-Miles-Davis/release/1486970,
16,[],J-1209,"{'have': 29, 'want': 9}",US,"['Vinyl', 'LP', 'Compilation']",['Jazz'],644648,['Jazztone'],https://api.discogs.com/masters/644648,[],https://api-img.discogs.com/wx0nyawdReS6I72mqi8k8MwiKg0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2223176-1415416029-4214.jpeg.jpg,Billie Holiday - Billie Holiday Sings,master,/Billie-Holiday-Billie-Holiday-Sings/master/644648,1955
17,[],FSE 1010,"{'have': 1, 'want': 1}",France,"['Vinyl', '7""', 'EP']",['Jazz'],1466446,['Stateside'],https://api.discogs.com/releases/1466446,['Soul-Jazz'],https://api-img.discogs.com/olOcPqwCsmrPwQFbH2pwc_inCSg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1466446-1396969948-3072.jpeg.jpg,Ray Charles - In The Heat Of The Night,release,/Ray-Charles-In-The-Heat-Of-The-Night/release/1466446,
18,['8 56075 00124 0'],TSQ2839,"{'have': 10, 'want': 7}",US,"['CD', 'Album']",['Jazz'],633552,['Tompkins Square'],https://api.discogs.com/masters/633552,"['Free Jazz', 'Post Bop']",https://api-img.discogs.com/JSBz2OalAZS1h9JEycnxjwjJ-DQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2036708-1260018973.jpeg.jpg,Charles Gayle - Time Zones,master,/Charles-Gayle-Time-Zones/master/633552,2006
19,[],AM 13014,"{'have': 6, 'want': 0}",US,"['Vinyl', 'LP', 'Mono']",['Jazz'],708139,['Ascot Records'],https://api.discogs.com/masters/708139,[],https://api-img.discogs.com/dda1w_bD9iU90LKo_jifx_QBKcA=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5859286-1404676626-5713.jpeg.jpg,Morgana King - The Winter Of My Discontent,master,/Morgana-King-The-Winter-Of-My-Discontent/master/708139,1964
20,[],LSP-2486,"{'have': 30, 'want': 9}",US,"['Vinyl', 'LP']",['Jazz'],1612777,['RCA'],https://api.discogs.com/releases/1612777,[],https://api-img.discogs.com/Yp-wOoUIAHTQpwT2_2Ga8nVAl8Y=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1612777-1232149363.jpeg.jpg,Joe Morello - It's About Time,release,/Joe-Morello-Its-About-Time/release/1612777,1962
21,[],T-573,"{'have': 24, 'want': 0}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],651965,['Capitol Records'],https://api.discogs.com/masters/651965,['Dixieland'],https://api-img.discogs.com/KCZyv-bT8DyAMgw2eJHcnIaWtT8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2827218-1302814999.jpeg.jpg,Pee Wee Hunt And His Dixieland Band - Dixieland Classics,master,/Pee-Wee-Hunt-And-His-Dixieland-Band-Dixieland-Classics/master/651965,1955
22,[],DL 8199,"{'have': 7, 'want': 3}",US,"['Vinyl', 'LP', 'Album', 'Mono']",['Jazz'],652177,['Decca'],https://api.discogs.com/masters/652177,['Ragtime'],https://api-img.discogs.com/y9BKtZg2VzfRj8nPRLdwYjIXAl4=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3128267-1317164507.jpeg.jpg,Lawson-Haggart Jazz Band - Ragtime Jamboree,master,/Lawson-Haggart-Jazz-Band-Ragtime-Jamboree/master/652177,1954
23,['STEMRA'],63364,"{'have': 17, 'want': 5}",Netherlands,"['Vinyl', 'LP', 'Album']",['Jazz'],656542,"['CBS', 'Aimez-Vous Le Jazz / Do You Like Jazz ?', 'CBS Inc.', 'CBS Records']",https://api.discogs.com/masters/656542,[],https://api-img.discogs.com/ZuWjefdiNTA45EmbwirWFi-71Hw=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5422842-1392981672-8393.jpeg.jpg,Earl Hines - 57 Varieties,master,/Earl-Hines-57-Varieties/master/656542,1973
24,[],CCF247,"{'have': 1, 'want': 4}",Canada,"['Vinyl', '7""', '45 RPM', 'Album', 'Box Set']",['Jazz'],657158,['Capitol Records'],https://api.discogs.com/masters/657158,['Big Band'],https://api-img.discogs.com/sRdBKV01LtT3a1gqkWaHRk0sZX8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4976179-1381103612-5641.jpeg.jpg,Jo Stafford And Gordon MacRae - Sunday Evening Songs,master,/Jo-Stafford-And-Gordon-MacRae-Sunday-Evening-Songs/master/657158,
25,[],MUS-2500,"{'have': 18, 'want': 1}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],1615271,['Musicor Records'],https://api.discogs.com/releases/1615271,['Easy Listening'],https://api-img.discogs.com/fTf09oa7IeVAxtjoWZbqGGxTlOk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1615271-1232299792.jpeg.jpg,"50 Guitars, The* - The Return Of The Fifty Guitars",release,/50-Guitars-The-The-Return-Of-The-Fifty-Guitars/release/1615271,1976
26,[],MGV-8069,"{'have': 54, 'want': 35}",US,"['Vinyl', 'LP', 'Album', 'Mono']",['Jazz'],1615365,"['Verve Records', 'Verve Records', 'Clef Series']",https://api.discogs.com/releases/1615365,"['Swing', 'Contemporary Jazz', 'Easy Listening']",https://api-img.discogs.com/YR1WffT8h_HBldzCcJJOOcvekZk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1615365-1283695759.jpeg.jpg,Gene Krupa And Buddy Rich - Krupa And Rich,release,/Gene-Krupa-And-Buddy-Rich-Krupa-And-Rich/release/1615365,1957
27,"['0 42283 44342 6', '834 434-2 01 # H', 'MADE IN W.GERMANY BY PDO', 'LC 8509', 'BIEM STEMRA']",834 434-2,"{'have': 11, 'want': 3}",Europe,"['CD', 'Album']",['Jazz'],1551595,['JMT Productions'],https://api.discogs.com/releases/1551595,['Contemporary Jazz'],https://api-img.discogs.com/Cp3tf-LI2rRNZ3K7zoC1Wwjh2yU=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1551595-1227800761.jpeg.jpg,Cassandra Wilson - Jumpworld,release,/Cassandra-Wilson-Jumpworld/release/1551595,1990
